Dates,Time,Category,DayOfWeek,PdDistrict,Resolution                                                                        ,
11/03/2010,19:30:00,VEHICLE THEFT,Thursday,PARK,NONE,
30/11/2005,11:55:00,DRUG\/NARCOTIC,Wednesday,PARK,ARREST,BOOKED
24/09/2006,19:40:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
24/07/2006,13:00:00,BURGLARY,Monday,NORTHERN,NONE,
04/04/2003,18:38:00,LARCENY\/THEFT,Friday,TENDERLOIN,JUVENILE CITED,
26/12/2012,13:00:00,LARCENY\/THEFT,Wednesday,MISSION,NONE,
28/06/2011,19:55:00,MISSING PERSON,Tuesday,TENDERLOIN,LOCATED,
27/10/2003,14:20:00,FORGERY\/COUNTERFEITING,Monday,TARAVAL,NONE,
04/05/2003,15:30:00,BURGLARY,Sunday,INGLESIDE,PROSECUTED BY OUTSIDE AGENCY,
02/09/2008,00:01:00,LARCENY\/THEFT,Tuesday,TENDERLOIN,NONE,
03/08/2004,18:40:00,NON-CRIMINAL,Tuesday,MISSION,NONE,
01/11/2011,07:00:00,WARRANTS,Tuesday,RICHMOND,ARREST,BOOKED
18/03/2008,17:36:00,LARCENY\/THEFT,Tuesday,SOUTHERN,ARREST,BOOKED
12/05/2014,18:30:00,BURGLARY,Monday,CENTRAL,NONE,
24/11/2014,20:30:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
05/06/2011,17:30:00,LARCENY\/THEFT,Sunday,TARAVAL,NONE,
10/01/2015,04:25:00,BURGLARY,Saturday,INGLESIDE,NONE,
22/05/2011,13:20:00,NON-CRIMINAL,Sunday,INGLESIDE,NONE,
06/09/2008,18:00:00,OTHER OFFENSES,Saturday,MISSION,ARREST,CITED
02/05/2003,20:00:00,ASSAULT,Friday,TENDERLOIN,NONE,
14/01/2010,17:00:00,VANDALISM,Thursday,MISSION,NONE,
31/05/2005,14:36:00,ASSAULT,Tuesday,MISSION,NONE,
24/08/2010,00:01:00,VANDALISM,Tuesday,BAYVIEW,NONE,
18/02/2003,15:05:00,ASSAULT,Tuesday,BAYVIEW,NONE,
09/03/2003,20:34:00,VEHICLE THEFT,Sunday,BAYVIEW,NONE,
31/05/2014,15:00:00,VANDALISM,Saturday,SOUTHERN,NONE,
09/06/2009,17:45:00,OTHER OFFENSES,Tuesday,MISSION,ARREST,BOOKED
07/08/2003,20:45:00,VEHICLE THEFT,Thursday,NORTHERN,NONE,
21/07/2014,17:00:00,VEHICLE THEFT,Monday,MISSION,NONE,
14/11/2014,14:20:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
04/03/2014,19:05:00,OTHER OFFENSES,Tuesday,SOUTHERN,NONE,
09/04/2011,22:00:00,NON-CRIMINAL,Saturday,INGLESIDE,NONE,
24/07/2006,23:21:00,OTHER OFFENSES,Monday,NORTHERN,NONE,
02/12/2011,14:00:00,MISSING PERSON,Friday,CENTRAL,LOCATED,
10/06/2014,00:01:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
06/04/2010,01:30:00,NON-CRIMINAL,Tuesday,MISSION,NONE,
22/03/2015,09:30:00,VANDALISM,Sunday,SOUTHERN,NONE,
03/04/2003,15:38:00,ROBBERY,Thursday,PARK,JUVENILE BOOKED,
30/06/2013,18:20:00,OTHER OFFENSES,Sunday,MISSION,ARREST,BOOKED
14/05/2014,16:45:00,ASSAULT,Wednesday,TENDERLOIN,NONE,
20/09/2011,01:50:00,MISSING PERSON,Tuesday,SOUTHERN,LOCATED,
25/09/2010,22:00:00,LARCENY\/THEFT,Saturday,BAYVIEW,NONE,
27/06/2004,17:00:00,LARCENY\/THEFT,Sunday,TENDERLOIN,ARREST,CITED
25/07/2013,13:01:00,FRAUD,Thursday,MISSION,PSYCHOPATHIC CASE,
02/12/2010,21:20:00,SUSPICIOUS OCC,Thursday,PARK,NONE,
25/12/2004,16:00:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
13/12/2003,23:50:00,ROBBERY,Saturday,TARAVAL,NONE,
10/03/2005,17:30:00,LARCENY\/THEFT,Thursday,SOUTHERN,ARREST,CITED
29/06/2008,18:00:00,VEHICLE THEFT,Sunday,INGLESIDE,NONE,
05/06/2005,12:00:00,FRAUD,Sunday,RICHMOND,NOT PROSECUTED,
30/03/2009,00:36:00,ARSON,Monday,SOUTHERN,NONE,
16/12/2005,08:00:00,MISSING PERSON,Friday,BAYVIEW,NONE,
11/08/2007,17:22:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
20/03/2006,02:00:00,VANDALISM,Monday,TARAVAL,NONE,
16/04/2007,00:01:00,BURGLARY,Monday,MISSION,NONE,
10/08/2014,16:00:00,DRUG\/NARCOTIC,Sunday,MISSION,ARREST,BOOKED
15/10/2014,15:30:00,LARCENY\/THEFT,Wednesday,TARAVAL,NONE,
05/05/2005,09:54:00,DRUG\/NARCOTIC,Thursday,MISSION,ARREST,BOOKED
14/12/2012,08:45:00,VANDALISM,Friday,NORTHERN,NONE,
29/05/2013,11:30:00,NON-CRIMINAL,Wednesday,MISSION,NONE,
08/09/2006,22:00:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
24/07/2013,08:00:00,ASSAULT,Wednesday,TARAVAL,NONE,
16/11/2005,17:30:00,BURGLARY,Wednesday,CENTRAL,NONE,
28/06/2003,10:30:00,NON-CRIMINAL,Saturday,TARAVAL,NONE,
13/06/2009,16:30:00,BURGLARY,Saturday,TARAVAL,ARREST,BOOKED
11/01/2005,09:38:00,NON-CRIMINAL,Tuesday,CENTRAL,NONE,
02/05/2015,07:15:00,NON-CRIMINAL,Saturday,PARK,NONE,
28/11/2008,23:35:00,DRUNKENNESS,Friday,MISSION,ARREST,BOOKED
14/01/2005,14:00:00,LARCENY\/THEFT,Friday,CENTRAL,NONE,
12/08/2005,21:46:00,WARRANTS,Friday,NORTHERN,ARREST,BOOKED
01/12/2006,15:00:00,LARCENY\/THEFT,Friday,INGLESIDE,UNFOUNDED,
07/01/2003,07:20:00,NON-CRIMINAL,Tuesday,RICHMOND,PSYCHOPATHIC CASE,
06/10/2010,18:00:00,FRAUD,Wednesday,CENTRAL,NONE,
07/01/2015,07:40:00,NON-CRIMINAL,Wednesday,BAYVIEW,NONE,
29/06/2010,01:23:00,NON-CRIMINAL,Tuesday,CENTRAL,NONE,
02/10/2009,14:10:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
31/05/2014,09:38:00,DRUG\/NARCOTIC,Saturday,BAYVIEW,ARREST,BOOKED
07/01/2008,13:20:00,SECONDARY CODES,Monday,SOUTHERN,NONE,
17/04/2015,10:00:00,NON-CRIMINAL,Friday,NORTHERN,NONE,
15/10/2014,06:00:00,OTHER OFFENSES,Wednesday,CENTRAL,ARREST,BOOKED
10/11/2008,13:00:00,BURGLARY,Monday,BAYVIEW,NONE,
25/01/2013,02:15:00,OTHER OFFENSES,Friday,MISSION,ARREST,BOOKED
05/04/2003,11:30:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
18/03/2003,10:43:00,VEHICLE THEFT,Tuesday,INGLESIDE,ARREST,BOOKED
17/08/2009,13:35:00,NON-CRIMINAL,Monday,PARK,NONE,
05/04/2005,19:38:00,NON-CRIMINAL,Tuesday,SOUTHERN,NONE,
11/06/2007,13:00:00,NON-CRIMINAL,Monday,BAYVIEW,NONE,
09/06/2014,13:25:00,SUSPICIOUS OCC,Monday,TARAVAL,NONE,
28/04/2015,00:01:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
23/06/2004,20:10:00,MISSING PERSON,Wednesday,TENDERLOIN,LOCATED,
20/07/2009,07:09:00,OTHER OFFENSES,Monday,TENDERLOIN,ARREST,CITED
01/11/2013,00:01:00,OTHER OFFENSES,Friday,SOUTHERN,ARREST,BOOKED
28/06/2009,22:30:00,LARCENY\/THEFT,Sunday,CENTRAL,ARREST,CITED
19/08/2014,21:30:00,LARCENY\/THEFT,Tuesday,MISSION,NONE,
07/08/2013,16:02:00,BURGLARY,Wednesday,NORTHERN,ARREST,BOOKED
07/10/2007,08:21:00,NON-CRIMINAL,Sunday,NORTHERN,JUVENILE ADMONISHED,
14/04/2009,19:00:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
03/04/2006,12:00:00,NON-CRIMINAL,Monday,TENDERLOIN,PSYCHOPATHIC CASE,
30/05/2013,11:20:00,LARCENY\/THEFT,Thursday,RICHMOND,NONE,
15/12/2011,10:37:00,NON-CRIMINAL,Thursday,SOUTHERN,ARREST,BOOKED
07/04/2011,14:35:00,NON-CRIMINAL,Thursday,NORTHERN,NONE,
23/07/2007,07:55:00,NON-CRIMINAL,Monday,BAYVIEW,NONE,
06/03/2013,21:00:00,LARCENY\/THEFT,Wednesday,RICHMOND,NONE,
25/06/2004,13:25:00,LARCENY\/THEFT,Friday,TENDERLOIN,ARREST,BOOKED
14/12/2006,11:00:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
03/04/2015,08:20:00,WARRANTS,Friday,MISSION,ARREST,BOOKED
23/08/2007,02:13:00,OTHER OFFENSES,Thursday,TARAVAL,ARREST,CITED
07/03/2008,08:33:00,OTHER OFFENSES,Friday,RICHMOND,ARREST,CITED
26/11/2014,22:30:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
25/07/2012,18:30:00,LARCENY\/THEFT,Wednesday,PARK,NONE,
27/02/2005,08:30:00,WARRANTS,Sunday,MISSION,ARREST,BOOKED
16/08/2004,16:20:00,OTHER OFFENSES,Monday,BAYVIEW,ARREST,BOOKED
12/12/2008,20:30:00,LARCENY\/THEFT,Friday,TARAVAL,NONE,
04/05/2010,15:19:00,DRUG\/NARCOTIC,Tuesday,BAYVIEW,ARREST,BOOKED
25/12/2013,07:07:00,ASSAULT,Wednesday,MISSION,NONE,
11/07/2004,21:30:00,BURGLARY,Sunday,TARAVAL,NONE,
15/05/2004,09:00:00,FORGERY\/COUNTERFEITING,Saturday,MISSION,NONE,
13/06/2005,10:25:00,DRUG\/NARCOTIC,Monday,TENDERLOIN,ARREST,CITED
05/10/2007,22:14:00,VANDALISM,Friday,INGLESIDE,ARREST,BOOKED
28/12/2011,14:46:00,DRUG\/NARCOTIC,Wednesday,MISSION,ARREST,BOOKED
10/03/2010,10:30:00,BURGLARY,Wednesday,TARAVAL,NONE,
31/10/2008,22:30:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
28/10/2014,08:25:00,NON-CRIMINAL,Tuesday,INGLESIDE,NONE,
04/04/2003,22:30:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
13/06/2013,14:45:00,LARCENY\/THEFT,Thursday,PARK,NONE,
26/07/2008,23:37:00,ASSAULT,Saturday,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
26/06/2012,12:28:00,WARRANTS,Tuesday,PARK,ARREST,BOOKED
31/12/2006,23:52:00,SUSPICIOUS OCC,Sunday,CENTRAL,NONE,
04/09/2006,10:00:00,SUSPICIOUS OCC,Monday,BAYVIEW,NONE,
25/11/2013,15:00:00,VEHICLE THEFT,Monday,MISSION,NONE,
30/06/2010,21:00:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
24/06/2004,12:30:00,VEHICLE THEFT,Thursday,BAYVIEW,NONE,
15/10/2003,23:21:00,DRUG\/NARCOTIC,Wednesday,PARK,ARREST,BOOKED
05/02/2014,08:45:00,WARRANTS,Wednesday,SOUTHERN,ARREST,BOOKED
01/10/2003,20:30:00,ASSAULT,Wednesday,BAYVIEW,NONE,
23/08/2005,19:37:00,NON-CRIMINAL,Tuesday,NORTHERN,PSYCHOPATHIC CASE,
21/01/2013,14:00:00,NON-CRIMINAL,Monday,SOUTHERN,NONE,
03/09/2014,16:00:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
13/03/2005,10:00:00,LARCENY\/THEFT,Sunday,RICHMOND,NONE,
12/12/2014,11:25:00,WARRANTS,Friday,PARK,NONE,
26/06/2013,10:00:00,OTHER OFFENSES,Wednesday,INGLESIDE,NONE,
04/09/2012,22:20:00,ASSAULT,Tuesday,MISSION,NONE,
14/12/2010,09:44:00,OTHER OFFENSES,Tuesday,PARK,ARREST,BOOKED
27/01/2007,00:01:00,LARCENY\/THEFT,Saturday,CENTRAL,NONE,
31/12/2010,17:00:00,BURGLARY,Friday,TARAVAL,NONE,
23/04/2010,17:00:00,BURGLARY,Friday,INGLESIDE,NONE,
15/09/2003,13:20:00,SEX OFFENSES FORCIBLE,Monday,INGLESIDE,JUVENILE ADMONISHED,
28/05/2013,02:30:00,MISSING PERSON,Tuesday,BAYVIEW,LOCATED,
11/01/2004,21:15:00,SUSPICIOUS OCC,Sunday,INGLESIDE,NONE,
12/12/2009,22:36:00,DRIVING UNDER THE INFLUENCE,Saturday,TENDERLOIN,ARREST,BOOKED
20/02/2004,07:00:00,NON-CRIMINAL,Friday,MISSION,NONE,
29/01/2010,18:00:00,NON-CRIMINAL,Friday,SOUTHERN,NONE,
18/11/2007,14:17:00,ASSAULT,Sunday,MISSION,ARREST,BOOKED
18/02/2014,07:28:00,OTHER OFFENSES,Tuesday,SOUTHERN,NONE,
04/02/2009,20:45:00,SECONDARY CODES,Wednesday,INGLESIDE,NOT PROSECUTED,
12/07/2009,21:30:00,VANDALISM,Sunday,INGLESIDE,NONE,
24/04/2010,10:00:00,LARCENY\/THEFT,Saturday,BAYVIEW,NONE,
12/08/2006,12:00:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
21/02/2008,10:15:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
20/03/2015,09:45:00,NON-CRIMINAL,Friday,TARAVAL,PSYCHOPATHIC CASE,
01/07/2010,15:50:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
09/12/2014,09:10:00,SUSPICIOUS OCC,Tuesday,SOUTHERN,NONE,
21/03/2007,11:00:00,BURGLARY,Wednesday,CENTRAL,NONE,
30/06/2013,15:45:00,SUSPICIOUS OCC,Sunday,TARAVAL,NONE,
22/07/2013,21:56:00,TRESPASS,Monday,MISSION,ARREST,BOOKED
30/07/2005,09:08:00,NON-CRIMINAL,Saturday,TENDERLOIN,PSYCHOPATHIC CASE,
05/04/2012,18:00:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
25/12/2014,21:32:00,WARRANTS,Thursday,MISSION,ARREST,BOOKED
09/03/2010,16:32:00,DRUG\/NARCOTIC,Tuesday,MISSION,ARREST,BOOKED
01/01/2012,09:00:00,OTHER OFFENSES,Sunday,RICHMOND,NONE,
22/09/2007,02:00:00,LARCENY\/THEFT,Saturday,BAYVIEW,NONE,
10/09/2005,18:45:00,MISSING PERSON,Saturday,MISSION,LOCATED,
25/07/2003,20:00:00,LARCENY\/THEFT,Friday,SOUTHERN,COMPLAINANT REFUSES TO PROSECUTE,
17/10/2008,17:30:00,OTHER OFFENSES,Friday,SOUTHERN,ARREST,CITED
28/05/2003,22:00:00,NON-CRIMINAL,Wednesday,MISSION,NOT PROSECUTED,
09/06/2004,00:01:00,BURGLARY,Wednesday,RICHMOND,NONE,
30/07/2005,15:00:00,WEAPON LAWS,Saturday,NORTHERN,ARREST,BOOKED
11/08/2006,21:23:00,WARRANTS,Friday,MISSION,ARREST,BOOKED
04/07/2010,22:30:00,MISSING PERSON,Sunday,BAYVIEW,JUVENILE BOOKED,
27/11/2012,19:00:00,MISSING PERSON,Tuesday,MISSION,LOCATED,
29/05/2004,11:30:00,DRUG\/NARCOTIC,Saturday,TARAVAL,NONE,
19/11/2006,00:20:00,LARCENY\/THEFT,Sunday,SOUTHERN,NONE,
12/03/2006,01:00:00,LARCENY\/THEFT,Sunday,NORTHERN,NONE,
27/03/2010,13:15:00,ASSAULT,Saturday,MISSION,NONE,
19/10/2011,14:00:00,NON-CRIMINAL,Wednesday,TENDERLOIN,PSYCHOPATHIC CASE,
11/01/2010,09:30:00,TRESPASS,Monday,CENTRAL,ARREST,CITED
26/01/2013,23:00:00,FRAUD,Saturday,SOUTHERN,NONE,
07/09/2003,17:30:00,DRUG\/NARCOTIC,Sunday,NORTHERN,ARREST,BOOKED
29/09/2003,18:00:00,LARCENY\/THEFT,Monday,NORTHERN,NONE,
28/12/2008,10:29:00,DRUG\/NARCOTIC,Sunday,TENDERLOIN,ARREST,BOOKED
28/09/2004,21:25:00,PROSTITUTION,Tuesday,MISSION,ARREST,CITED
01/12/2013,19:00:00,ASSAULT,Sunday,MISSION,NONE,
07/02/2011,23:47:00,WARRANTS,Monday,MISSION,ARREST,BOOKED
30/06/2007,10:15:00,DRUG\/NARCOTIC,Saturday,MISSION,ARREST,BOOKED
29/05/2004,13:47:00,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST,BOOKED
29/01/2012,16:27:00,NON-CRIMINAL,Sunday,SOUTHERN,PSYCHOPATHIC CASE,
10/11/2004,13:10:00,FORGERY\/COUNTERFEITING,Wednesday,INGLESIDE,NONE,
20/09/2009,11:40:00,OTHER OFFENSES,Sunday,SOUTHERN,ARREST,CITED
22/01/2004,12:15:00,FRAUD,Thursday,SOUTHERN,NONE,
15/12/2005,15:00:00,MISSING PERSON,Thursday,MISSION,LOCATED,
07/04/2011,18:15:00,ASSAULT,Thursday,SOUTHERN,NONE,
09/08/2012,14:06:00,OTHER OFFENSES,Thursday,INGLESIDE,ARREST,CITED
02/04/2015,22:00:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
04/02/2003,20:30:00,LARCENY\/THEFT,Tuesday,TENDERLOIN,NONE,
25/06/2014,05:46:00,OTHER OFFENSES,Wednesday,RICHMOND,ARREST,CITED
04/10/2013,12:30:00,VANDALISM,Friday,RICHMOND,NONE,
18/10/2003,22:50:00,NON-CRIMINAL,Saturday,TENDERLOIN,NONE,
18/04/2013,18:30:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
23/12/2014,19:00:00,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE,
07/03/2009,01:55:00,DRIVING UNDER THE INFLUENCE,Saturday,PARK,ARREST,BOOKED
12/07/2012,12:30:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
14/04/2004,17:05:00,WARRANTS,Wednesday,TENDERLOIN,ARREST,BOOKED
18/04/2014,23:00:00,NON-CRIMINAL,Friday,MISSION,NONE,
27/12/2013,23:00:00,VANDALISM,Friday,SOUTHERN,NONE,
28/10/2008,19:00:00,LARCENY\/THEFT,Tuesday,PARK,NONE,
13/11/2003,07:45:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
03/03/2004,12:35:00,DRUG\/NARCOTIC,Wednesday,TENDERLOIN,ARREST,CITED
25/01/2005,11:30:00,VEHICLE THEFT,Tuesday,MISSION,NONE,
28/05/2007,07:55:00,WARRANTS,Monday,SOUTHERN,ARREST,BOOKED
27/12/2007,11:25:00,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST,CITED] } }
08/08/2007,09:55:00,DRUG\/NARCOTIC,Wednesday,MISSION,ARREST,CITED
22/03/2005,20:00:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
24/01/2011,21:00:00,LARCENY\/THEFT,Monday,NORTHERN,NONE,
28/06/2006,17:00:00,VANDALISM,Wednesday,INGLESIDE,NONE,
04/10/2008,10:00:00,VEHICLE THEFT,Saturday,CENTRAL,NONE,
04/05/2007,16:30:00,SUSPICIOUS OCC,Friday,SOUTHERN,NONE,
02/12/2006,16:00:00,VANDALISM,Saturday,CENTRAL,NONE,
06/03/2004,13:00:00,SUSPICIOUS OCC,Saturday,TARAVAL,NONE,
28/04/2008,22:30:00,ASSAULT,Monday,INGLESIDE,NONE,
23/01/2012,09:07:00,BURGLARY,Monday,MISSION,ARREST,BOOKED
27/06/2012,11:00:00,RUNAWAY,Wednesday,BAYVIEW,LOCATED,
16/10/2014,11:00:00,LARCENY\/THEFT,Thursday,PARK,NONE,
20/10/2013,21:00:00,LARCENY\/THEFT,Sunday,BAYVIEW,NONE,
13/12/2014,05:38:00,SUSPICIOUS OCC,Saturday,TARAVAL,NONE,
15/05/2007,19:05:00,TRESPASS,Tuesday,SOUTHERN,ARREST,CITED
05/11/2005,20:00:00,VEHICLE THEFT,Saturday,MISSION,NONE,
23/11/2004,20:00:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
29/10/2008,19:25:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
05/01/2009,23:00:00,NON-CRIMINAL,Monday,MISSION,NONE,
23/12/2004,20:10:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,BOOKED
01/07/2005,03:20:00,BURGLARY,Friday,PARK,NONE,
22/07/2004,08:30:00,VEHICLE THEFT,Thursday,PARK,NONE,
07/02/2015,12:00:00,OTHER OFFENSES,Saturday,INGLESIDE,NONE,
17/11/2010,08:40:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
08/01/2013,23:00:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
12/01/2014,12:13:00,OTHER OFFENSES,Sunday,BAYVIEW,ARREST,BOOKED
19/03/2013,16:33:00,ASSAULT,Tuesday,TENDERLOIN,NONE,
04/09/2014,14:00:00,WARRANTS,Thursday,CENTRAL,ARREST,BOOKED
21/07/2004,06:00:00,ROBBERY,Wednesday,SOUTHERN,NONE,
17/10/2003,22:30:00,OTHER OFFENSES,Friday,TENDERLOIN,ARREST,BOOKED
22/12/2009,22:15:00,OTHER OFFENSES,Tuesday,TENDERLOIN,ARREST,BOOKED
30/12/2006,23:00:00,ASSAULT,Saturday,SOUTHERN,NONE,
25/02/2010,09:00:00,MISSING PERSON,Thursday,BAYVIEW,LOCATED,
03/07/2010,01:31:00,ASSAULT,Saturday,CENTRAL,ARREST,BOOKED
12/07/2003,23:30:00,OTHER OFFENSES,Saturday,INGLESIDE,NONE,
06/10/2010,00:01:00,FORGERY\/COUNTERFEITING,Wednesday,SOUTHERN,PROSECUTED BY OUTSIDE AGENCY,
10/04/2010,16:04:00,LARCENY\/THEFT,Saturday,RICHMOND,ARREST,CITED
01/06/2011,07:00:00,BURGLARY,Wednesday,NORTHERN,NONE,
10/11/2009,11:30:00,LARCENY\/THEFT,Tuesday,TARAVAL,NONE,
31/03/2008,14:00:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
17/05/2013,12:45:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
19/04/2012,18:50:00,ASSAULT,Thursday,RICHMOND,ARREST,BOOKED
03/12/2006,19:00:00,FRAUD,Sunday,MISSION,NONE,
17/03/2015,12:44:00,OTHER OFFENSES,Tuesday,SOUTHERN,ARREST,BOOKED
06/09/2008,16:30:00,LARCENY\/THEFT,Saturday,MISSION,NONE,
29/10/2003,21:00:00,VEHICLE THEFT,Wednesday,TENDERLOIN,UNFOUNDED,
26/02/2011,00:30:00,OTHER OFFENSES,Saturday,INGLESIDE,ARREST,CITED
03/02/2004,17:45:00,VEHICLE THEFT,Tuesday,NORTHERN,NONE,
16/05/2014,20:10:00,BURGLARY,Friday,CENTRAL,ARREST,BOOKED
08/03/2011,21:30:00,VANDALISM,Tuesday,CENTRAL,NONE,
03/04/2006,06:15:00,NON-CRIMINAL,Monday,NORTHERN,NONE,
29/11/2008,16:50:00,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST,BOOKED
08/10/2010,08:00:00,LARCENY\/THEFT,Friday,TENDERLOIN,NONE,
31/10/2014,20:04:00,NON-CRIMINAL,Friday,SOUTHERN,PSYCHOPATHIC CASE,
05/05/2012,18:40:00,WARRANTS,Saturday,RICHMOND,ARREST,BOOKED
17/04/2015,07:30:00,MISSING PERSON,Friday,MISSION,LOCATED,
12/12/2012,11:40:00,OTHER OFFENSES,Wednesday,MISSION,ARREST,CITED
16/11/2013,10:30:00,OTHER OFFENSES,Saturday,MISSION,NONE,
28/06/2007,23:45:00,ROBBERY,Thursday,TENDERLOIN,NONE,
08/03/2003,04:24:00,WARRANTS,Saturday,INGLESIDE,ARREST,BOOKED
05/05/2005,15:30:00,OTHER OFFENSES,Thursday,BAYVIEW,NONE,
13/05/2004,00:01:00,LARCENY\/THEFT,Thursday,BAYVIEW,NONE,
06/10/2013,20:30:00,LARCENY\/THEFT,Sunday,MISSION,NONE,
12/02/2011,20:30:00,VEHICLE THEFT,Saturday,TENDERLOIN,NONE,
04/03/2004,02:53:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,CITED
26/06/2007,23:25:00,ROBBERY,Tuesday,SOUTHERN,NONE,
16/08/2004,13:58:00,DRUG\/NARCOTIC,Monday,SOUTHERN,ARREST,BOOKED
03/11/2005,11:12:00,OTHER OFFENSES,Thursday,NORTHERN,ARREST,CITED
05/04/2013,12:40:00,ROBBERY,Friday,RICHMOND,JUVENILE BOOKED,
07/08/2006,02:45:00,SECONDARY CODES,Monday,CENTRAL,ARREST,BOOKED
08/02/2010,00:30:00,SEX OFFENSES FORCIBLE,Monday,SOUTHERN,NONE,
16/09/2013,00:01:00,VEHICLE THEFT,Monday,BAYVIEW,ARREST,BOOKED
21/07/2003,09:10:00,OTHER OFFENSES,Monday,CENTRAL,ARREST,BOOKED
24/05/2004,02:00:00,SECONDARY CODES,Monday,CENTRAL,ARREST,BOOKED
05/04/2012,22:59:00,DRUG\/NARCOTIC,Thursday,SOUTHERN,ARREST,BOOKED
21/04/2006,11:31:00,DRUG\/NARCOTIC,Friday,MISSION,ARREST,BOOKED
02/11/2012,19:00:00,SUSPICIOUS OCC,Friday,BAYVIEW,NONE,
19/11/2010,16:30:00,BURGLARY,Friday,MISSION,NONE,
26/07/2006,17:04:00,VEHICLE THEFT,Wednesday,NORTHERN,NONE,
05/03/2004,20:00:00,VEHICLE THEFT,Friday,RICHMOND,UNFOUNDED,
18/05/2007,09:30:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
24/02/2007,01:25:00,ASSAULT,Saturday,SOUTHERN,ARREST,CITED
08/08/2005,23:30:00,VEHICLE THEFT,Monday,CENTRAL,NONE,
23/12/2004,22:12:00,VEHICLE THEFT,Thursday,CENTRAL,ARREST,BOOKED
09/01/2004,16:45:00,SUICIDE,Friday,INGLESIDE,PSYCHOPATHIC CASE,
20/05/2006,22:25:00,ASSAULT,Saturday,TARAVAL,NONE,
28/11/2014,21:21:00,WARRANTS,Friday,BAYVIEW,ARREST,BOOKED
10/03/2006,22:00:00,VEHICLE THEFT,Friday,PARK,NONE,
29/04/2004,14:20:00,WARRANTS,Thursday,SOUTHERN,ARREST,BOOKED
15/01/2006,21:00:00,LARCENY\/THEFT,Sunday,PARK,NONE,
14/06/2014,20:11:00,OTHER OFFENSES,Saturday,SOUTHERN,ARREST,CITED
12/03/2011,20:00:00,VEHICLE THEFT,Saturday,TARAVAL,NONE,
27/05/2009,12:20:00,VANDALISM,Wednesday,BAYVIEW,NONE,
05/04/2003,05:36:00,BURGLARY,Saturday,MISSION,NONE,
09/04/2006,23:06:00,WEAPON LAWS,Sunday,NORTHERN,ARREST,CITED
13/05/2004,11:30:00,BURGLARY,Thursday,SOUTHERN,ARREST,BOOKED
17/10/2013,22:25:00,NON-CRIMINAL,Thursday,SOUTHERN,NONE,
25/01/2012,20:45:00,VEHICLE THEFT,Wednesday,CENTRAL,NONE,
14/02/2010,13:19:00,OTHER OFFENSES,Sunday,RICHMOND,ARREST,CITED
11/01/2012,00:01:00,VEHICLE THEFT,Wednesday,BAYVIEW,NONE,
13/11/2004,21:00:00,VANDALISM,Saturday,NORTHERN,NONE,
20/08/2004,08:00:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
13/03/2005,23:00:00,DRUG\/NARCOTIC,Sunday,TENDERLOIN,ARREST,BOOKED
13/11/2008,18:32:00,DRUG\/NARCOTIC,Thursday,MISSION,ARREST,BOOKED
